category,item,serving_size,calories,calories_from_fat,total_fat,total_fat_(%_daily_value),saturated_fat,saturated_fat_(%_daily_value),trans_fat,cholesterol,cholesterol_(%_daily_value),sodium,sodium_(%_daily_value),carbohydrates,carbohydrates_(%_daily_value),dietary_fiber,dietary_fiber_(%_daily_value),sugars,protein,vitamin_a_(%_daily_value),vitamin_c_(%_daily_value),calcium_(%_daily_value),iron_(%_daily_value)
Beef & Pork,McDouble,5.2 oz (147 g),380.0,150.0,17.0,26.0,8.0,40.0,0.0,75.0,25.0,840.0,35.0,34.0,11.0,2.0,7.0,7.0,22.0,6.0,2.0,20.0,20.0
Beef & Pork,Bacon McDouble,5.7 oz (161 g),440.0,200.0,22.0,34.0,10.0,49.0,0.0,90.0,30.0,1110.0,46.0,35.0,12.0,2.0,7.0,7.0,27.0,6.0,10.0,20.0,20.0
Beef & Pork,Daily Double,6.7 oz (190 g),430.0,200.0,22.0,35.0,9.0,44.0,0.0,80.0,27.0,760.0,32.0,34.0,11.0,2.0,8.0,7.0,22.0,8.0,8.0,20.0,20.0
Beef & Pork,Jalapeño Double,5.6 oz (159 g),430.0,210.0,23.0,36.0,9.0,44.0,0.0,80.0,27.0,1030.0,43.0,35.0,12.0,2.0,7.0,6.0,22.0,6.0,8.0,20.0,20.0
Beef & Pork,McRib,7.3 oz (208 g),500.0,240.0,26.0,40.0,10.0,48.0,0.0,70.0,23.0,980.0,41.0,44.0,15.0,3.0,10.0,11.0,22.0,2.0,2.0,15.0,20.0
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510.0,200.0,22.0,33.0,3.5,18.0,0.0,45.0,16.0,990.0,41.0,55.0,18.0,3.0,13.0,10.0,24.0,4.0,6.0,15.0,20.0
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350.0,80.0,9.0,13.0,2.0,9.0,0.0,65.0,22.0,820.0,34.0,42.0,14.0,3.0,13.0,8.0,28.0,4.0,8.0,15.0,20.0
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670.0,300.0,33.0,51.0,9.0,44.0,0.0,85.0,29.0,1410.0,59.0,58.0,19.0,3.0,14.0,11.0,36.0,8.0,10.0,30.0,20.0
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510.0,180.0,20.0,31.0,7.0,36.0,0.0,105.0,35.0,1250.0,52.0,44.0,15.0,3.0,13.0,9.0,40.0,8.0,10.0,30.0,20.0
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610.0,250.0,28.0,43.0,6.0,31.0,0.0,70.0,24.0,1400.0,58.0,57.0,19.0,3.0,13.0,11.0,32.0,4.0,10.0,15.0,20.0
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450.0,130.0,15.0,23.0,4.5,22.0,0.0,90.0,30.0,1230.0,51.0,43.0,14.0,3.0,13.0,9.0,36.0,4.0,10.0,15.0,20.0
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750.0,340.0,38.0,59.0,10.0,51.0,0.0,90.0,31.0,1720.0,72.0,65.0,22.0,4.0,15.0,16.0,36.0,8.0,10.0,30.0,15.0
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590.0,230.0,25.0,39.0,8.0,42.0,0.0,110.0,37.0,1560.0,65.0,51.0,17.0,4.0,15.0,14.0,40.0,8.0,10.0,30.0,15.0
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430.0,170.0,19.0,29.0,3.0,15.0,0.0,45.0,14.0,910.0,38.0,43.0,14.0,2.0,7.0,7.0,21.0,4.0,2.0,15.0,15.0
Chicken & Fish,McChicken,5.1 oz (143 g),360.0,140.0,16.0,25.0,3.0,15.0,0.0,35.0,11.0,800.0,33.0,40.0,13.0,2.0,7.0,5.0,14.0,0.0,2.0,10.0,15.0
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480.0,220.0,24.0,38.0,7.0,35.0,0.0,65.0,21.0,1260.0,53.0,43.0,14.0,2.0,8.0,6.0,22.0,4.0,10.0,20.0,15.0
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430.0,190.0,21.0,32.0,5.0,25.0,0.0,50.0,17.0,1260.0,53.0,41.0,14.0,2.0,7.0,6.0,20.0,2.0,10.0,15.0,15.0
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),360.0,150.0,16.0,25.0,3.0,16.0,0.0,35.0,11.0,990.0,41.0,40.0,13.0,2.0,7.0,5.0,14.0,2.0,2.0,15.0,15.0
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630.0,280.0,32.0,49.0,9.0,45.0,0.0,80.0,26.0,1540.0,64.0,56.0,19.0,3.0,13.0,7.0,32.0,34.5,10.0,20.0,20.0
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480.0,170.0,19.0,28.0,7.0,36.0,0.0,95.0,32.0,1370.0,57.0,42.0,14.0,3.0,13.0,6.0,36.0,34.5,10.0,20.0,20.0
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610.0,280.0,31.0,47.0,8.0,40.0,0.0,65.0,21.0,1340.0,56.0,56.0,19.0,3.0,14.0,8.0,27.0,34.5,10.0,20.0,20.0
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450.0,160.0,18.0,27.0,6.0,31.0,0.0,80.0,27.0,1170.0,49.0,42.0,14.0,3.0,14.0,6.0,30.0,34.5,10.0,15.0,20.0
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670.0,300.0,33.0,51.0,8.0,40.0,0.0,60.0,21.0,1480.0,62.0,68.0,23.0,5.0,19.0,12.0,27.0,34.5,10.0,20.0,20.0
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520.0,180.0,20.0,31.0,6.0,32.0,0.0,80.0,27.0,1320.0,55.0,55.0,18.0,5.0,20.0,10.0,31.0,34.5,10.0,20.0,20.0
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),540.0,200.0,23.0,35.0,4.5,23.0,0.0,50.0,16.0,1260.0,52.0,61.0,20.0,3.0,13.0,14.0,23.0,34.5,10.0,8.0,20.0
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380.0,90.0,10.0,15.0,3.0,14.0,0.0,65.0,22.0,1090.0,45.0,47.0,16.0,3.0,13.0,12.0,27.0,34.5,10.0,8.0,20.0
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),190.0,110.0,12.0,18.0,2.0,10.0,0.0,25.0,9.0,360.0,15.0,12.0,4.0,1.0,2.0,0.0,9.0,0.0,2.0,0.0,2.0
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),280.0,160.0,18.0,27.0,3.0,15.0,0.0,40.0,13.0,540.0,22.0,18.0,6.0,1.0,4.0,0.0,13.0,0.0,2.0,2.0,4.0
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),470.0,270.0,30.0,45.0,5.0,25.0,0.0,65.0,22.0,900.0,37.0,30.0,10.0,2.0,6.0,0.0,22.0,0.0,4.0,2.0,6.0
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),935.0,470.0,52.0625,81.875,10.0,50.0,0.0,135.0,44.0,1800.0,75.0,59.0,20.0,3.0,12.0,0.0,41.5,0.0,8.0,4.0,10.0
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),935.0,470.0,52.0625,81.875,20.0,101.0,0.0,155.0,50.125,2001.25,83.5,105.0,35.0,6.0,24.0,1.0,41.5,0.0,10.0,8.0,25.0
Chicken & Fish,Filet-O-Fish,5 oz (142 g),390.0,170.0,19.0,29.0,4.0,19.0,0.0,40.0,14.0,590.0,24.0,39.0,13.0,2.0,7.0,5.0,15.0,2.0,0.0,15.0,10.0
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),140.0,70.0,7.0,11.0,3.5,18.0,0.0,25.0,9.0,300.0,13.0,10.0,3.0,3.0,12.0,4.0,9.0,34.5,10.0,15.0,6.0
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380.0,190.0,21.0,33.0,6.0,29.0,0.0,70.0,23.0,860.0,36.0,22.0,7.0,2.0,10.0,5.0,25.0,34.5,10.0,15.0,8.0
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220.0,80.0,8.0,13.0,4.0,20.0,0.0,85.0,29.0,690.0,29.0,8.0,3.0,2.0,10.0,4.0,29.0,34.5,10.0,15.0,8.0
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),140.0,40.0,4.5,7.0,2.0,9.0,0.0,10.0,3.0,150.0,6.0,20.0,7.0,6.0,23.0,6.0,6.0,34.5,10.0,15.0,10.0
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),450.0,190.0,22.0,33.0,4.5,22.0,0.0,50.0,17.0,850.0,35.0,42.0,14.0,7.0,25.0,12.0,23.0,34.5,10.0,15.0,15.0
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),290.0,80.0,8.0,13.0,2.5,13.0,0.0,70.0,23.0,680.0,28.0,28.0,9.0,7.0,25.0,10.0,27.0,34.5,10.0,15.0,15.0
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340.0,130.0,15.0,23.0,4.5,22.0,0.0,30.0,11.0,780.0,33.0,37.0,12.0,1.0,6.0,8.0,14.0,4.0,0.0,10.0,10.0
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260.0,70.0,8.0,13.0,3.5,18.0,0.0,40.0,14.0,700.0,29.0,30.0,10.0,1.0,6.0,7.0,16.0,4.0,2.0,10.0,10.0
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330.0,130.0,15.0,23.0,4.5,22.0,0.0,35.0,11.0,730.0,30.0,34.0,11.0,1.0,5.0,3.0,14.0,2.0,0.0,10.0,10.0
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250.0,70.0,8.0,13.0,3.5,18.0,0.0,45.0,14.0,650.0,27.0,27.0,9.0,1.0,5.0,2.0,16.0,2.0,2.0,10.0,10.0
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360.0,180.0,20.0,30.0,5.0,27.0,0.0,40.0,13.0,810.0,34.0,32.0,11.0,1.0,5.0,3.0,15.0,2.0,0.0,10.0,10.0
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280.0,120.0,13.0,20.0,4.5,22.0,0.0,45.0,16.0,720.0,30.0,25.0,8.0,1.0,5.0,2.0,16.0,2.0,2.0,10.0,10.0
Snacks & Sides,Small French Fries,2.6 oz (75 g),230.0,100.0,11.0,17.0,1.5,8.0,0.0,0.0,0.0,130.0,5.0,30.0,10.0,2.0,10.0,0.0,2.0,0.0,10.0,0.0,4.0
Snacks & Sides,Medium French Fries,3.9 oz (111 g),340.0,140.0,16.0,24.0,2.5,11.0,0.0,0.0,0.0,190.0,8.0,44.0,15.0,4.0,14.0,0.0,4.0,0.0,10.0,2.0,4.0
Snacks & Sides,Large French Fries,5.9 oz (168 g),510.0,220.0,24.0,37.0,3.5,17.0,0.0,0.0,0.0,290.0,12.0,67.0,22.0,5.0,22.0,0.0,6.0,0.0,10.0,2.0,8.0
Snacks & Sides,Kids French Fries,1.3 oz (38 g),110.0,50.0,5.0,8.0,1.0,4.0,0.0,0.0,0.0,65.0,3.0,15.0,5.0,1.0,5.0,0.0,1.0,0.0,10.0,0.0,2.0
Snacks & Sides,Side Salad,3.1 oz (87 g),20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,1.0,1.0,6.0,2.0,1.0,34.5,10.0,2.0,4.0
Snacks & Sides,Apple Slices,1.2 oz (34 g),15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,10.0,2.0,0.0
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),150.0,20.0,2.0,3.0,1.0,5.0,0.0,5.0,2.0,70.0,3.0,30.0,10.0,1.0,3.0,23.0,4.0,2.0,10.0,10.0,4.0
Desserts,Baked Apple Pie,2.7 oz (77 g),250.0,110.0,13.0,19.0,7.0,35.0,0.0,0.0,0.0,170.0,7.0,32.0,11.0,4.0,15.0,13.0,2.0,4.0,10.0,2.0,6.0
Desserts,Chocolate Chip Cookie,1 cookie (33 g),160.0,70.0,8.0,12.0,3.5,19.0,0.0,10.0,3.0,90.0,4.0,21.0,7.0,1.0,3.0,15.0,2.0,2.0,0.0,2.0,8.0
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),150.0,50.0,6.0,9.0,2.5,13.0,0.0,10.0,3.0,135.0,6.0,22.0,7.0,1.0,3.0,13.0,2.0,2.0,0.0,2.0,6.0
Desserts,Kids Ice Cream Cone,1 oz (29 g),45.0,10.0,1.5,2.0,1.0,4.0,0.0,5.0,2.0,20.0,1.0,7.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,4.0,0.0
Desserts,Hot Fudge Sundae,6.3 oz (179 g),330.0,80.0,9.0,14.0,7.0,34.0,0.0,25.0,8.0,170.0,7.0,53.0,18.0,1.0,3.0,48.0,8.0,8.0,0.0,25.0,8.0
Desserts,Hot Caramel Sundae,6.4 oz (182 g),340.0,70.0,8.0,12.0,5.0,24.0,0.0,30.0,10.0,150.0,6.0,60.0,20.0,0.0,0.0,43.0,7.0,10.0,0.0,25.0,0.0
Desserts,Strawberry Sundae,6.3 oz (178 g),280.0,60.0,6.0,10.0,4.0,20.0,0.0,25.0,8.0,85.0,4.0,49.0,16.0,0.0,0.0,45.0,6.0,8.0,4.0,20.0,0.0
Beverages,Coca-Cola Classic (Small),16 fl oz cup,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,13.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,55.0,18.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
Beverages,Coca-Cola Classic (Large),30 fl oz cup,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,76.0,25.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0
